Krok:	Magnetyzacja:
0	0.0
1	0.02301025390625
2	0.048126220703125
3	0.072174072265625
4	0.0908203125
5	0.11895751953125
6	0.146087646484375
7	0.172271728515625
8	0.1868896484375
9	0.20196533203125
10	0.222808837890625
11	0.24029541015625
12	0.26141357421875
13	0.277313232421875
14	0.2801513671875
15	0.28936767578125
16	0.303070068359375
17	0.31341552734375
18	0.329071044921875
19	0.345306396484375
20	0.357177734375
21	0.36505126953125
22	0.374267578125
23	0.38983154296875
24	0.403839111328125
25	0.417755126953125
26	0.428192138671875
27	0.4337158203125
28	0.43743896484375
29	0.445220947265625
30	0.455718994140625
31	0.460205078125
32	0.46990966796875
33	0.481170654296875
34	0.4927978515625
35	0.50225830078125
36	0.514801025390625
37	0.519561767578125
38	0.5277099609375
39	0.53857421875
40	0.5462646484375
41	0.554931640625
42	0.56915283203125
43	0.574798583984375
44	0.5848388671875
45	0.59503173828125
46	0.6044921875
47	0.61444091796875
48	0.622161865234375
49	0.62432861328125
50	0.633636474609375
51	0.641632080078125
52	0.647064208984375
53	0.6517333984375
54	0.659515380859375
55	0.66473388671875
56	0.667999267578125
57	0.674407958984375
58	0.681304931640625
59	0.68743896484375
60	0.698028564453125
61	0.697113037109375
62	0.700531005859375
63	0.704986572265625
64	0.71142578125
65	0.7164306640625
66	0.7216796875
67	0.724639892578125
68	0.732818603515625
69	0.73638916015625
70	0.744049072265625
71	0.745361328125
72	0.7490234375
73	0.755035400390625
74	0.759979248046875
75	0.765960693359375
76	0.771484375
77	0.77685546875
78	0.78179931640625
79	0.785614013671875
80	0.785919189453125
81	0.789337158203125
82	0.791412353515625
83	0.79632568359375
84	0.799468994140625
85	0.80401611328125
86	0.8067626953125
87	0.80938720703125
88	0.810272216796875
89	0.8111572265625
90	0.811676025390625
91	0.816009521484375
92	0.8228759765625
93	0.826019287109375
94	0.82672119140625
95	0.8310546875
96	0.8331298828125
97	0.838836669921875
98	0.841278076171875
99	0.84234619140625
100	0.844635009765625
